順位,駅名,m2単価（万円）,前年比
169位,奥沢駅,68.5,4.30%
170位,北千住駅,68.3,4.80%
171位,桜新町駅,68.2,3.50%
172位,明大前駅,68.1,3.80%
173位,池ノ上駅,67.1,3.60%
174位,豪徳寺駅,67,2.60%
175位,落合駅,66.9,4.20%
176位,西小山駅,66.7,4%
177位,不動前駅,66.1,3.30%
178位,立川駅,65.7,2.90%
179位,東長崎駅,65.6,2.50%
180位,大岡山駅,65.5,3.60%
181位,両国駅,64.8,3.70%
182位,新大塚駅,64.6,3.80%
183位,東北沢駅,64.4,3.70%
184位,神楽坂駅,64.3,2.80%
185位,戸越駅,63.8,3.60%
186位,阿佐ケ谷駅,63.7,4.50%
187位,西新宿五丁目駅,63.7,3.80%
188位,世田谷代田駅,63.1,2.60%
189位,緑が丘駅,63,4.30%
190位,駒沢大学駅,63,4%
191位,稲荷町駅,62.9,4.50%
192位,大山駅,61.9,3.80%
193位,上野毛駅,61.7,3.60%
194位,新板橋駅,61.7,4.20%
195位,用賀駅,61.6,3%
196位,三鷹駅,60.9,2.90%
197位,入谷駅,60.9,4.60%
198位,新代田駅,60.5,3.20%
199位,雑司が谷駅,60.5,4.30%
200位,経堂駅,60,3.10%
201位,大崎広小路駅,60,3.80%
202位,中野富士見町駅,60,4.40%
203位,鴬谷駅,59.4,3.30%
204位,等々力駅,59.3,2.30%
205位,江古田駅,59.1,3.50%
206位,東十条駅,58.9,3.40%
207位,下高井戸駅,58.9,3.80%
208位,宮の坂駅,58.7,3.50%
209位,多摩川駅,58.4,2.50%
210位,東松原駅,58.4,3.30%
211位,松陰神社前駅,58,3.70%
212位,三ノ輪駅,57.9,4.30%
213位,松原駅,57.7,2.60%
214位,雪が谷大塚駅,57.6,2.20%
215位,落合南長崎駅,57.4,2.60%
216位,亀戸駅,57.1,3%
217位,荏原中延駅,57,3.60%
218位,門前仲町駅,57,3%
219位,板橋駅,56.7,4.50%
220位,西荻窪駅,56.7,4%
221位,富士見ヶ丘駅,56.4,5.60%
222位,世田谷駅,56.3,3.10%
223位,西太子堂駅,56,3.90%
224位,若林駅,56,3.60%
225位,流通センター駅,56,7.10%
226位,高円寺駅,56,3.80%
227位,下落合駅,55.9,2%
228位,練馬駅,55.7,4%
229位,椎名町駅,55.3,3.40%
230位,代田橋駅,55.2,3.40%
231位,西大井駅,55,3.60%
232位,西永福駅,54.9,4.10%
233位,新馬場駅,54.7,3.40%
234位,北千束駅,54.6,3.50%
235位,菊川駅,54.4,3%
236位,成城学園前駅,54.3,2.40%
237位,桜上水駅,54.2,2.80%
238位,二子玉川駅,54.2,4.20%
239位,南阿佐ケ谷駅,54.2,5.10%
240位,旗の台駅,54,3.30%
241位,十条駅,53.9,3.50%
242位,立会川駅,53.8,2.30%
243位,梅ヶ丘駅,53.6,3.30%
244位,府中駅,53.6,2.20%
245位,方南町駅,53.5,4.20%
246位,北池袋駅,53.5,3.60%
247位,永福町駅,53.2,3.90%
248位,上町駅,53,2.90%
249位,糀谷駅,52.8,3.40%
250位,浜田山駅,52.7,3.40%
251位,清澄白河駅,52.5,2.80%
252位,田端駅,52.5,3.30%
253位,住吉駅,52.5,3%
254位,久が原駅,52.5,2.50%
255位,要町駅,52.3,4.10%
256位,王子駅,52.1,4.10%
257位,押上駅,51.5,2.60%
258位,西葛西駅,51.4,4.20%
259位,千歳船橋駅,51.1,3.10%
260位,下神明駅,51.1,4.50%
261位,千歳烏山駅,51.1,2.60%
262位,矢口渡駅,51,2.50%
263位,新高円寺駅,50.9,4.50%
264位,新井薬師前駅,50.7,2.30%
265位,上北沢駅,50.7,2.70%
266位,ときわ台駅,50.4,3.50%
267位,千鳥町駅,50.3,2.50%
268位,小田急町田駅,50.2,1%
269位,板橋区役所前駅,50.2,3.80%
270位,西新井駅,50.1,2.60%
271位,町屋駅,50.1,4.40%
272位,野方駅,50,2.40%
273位,石川台駅,49.6,2.50%
274位,東高円寺駅,49.6,3.50%
275位,高井戸駅,49.3,3.50%
276位,中井駅,49.3,2.70%
277位,井の頭公園駅,49.1,3.20%
278位,洗足池駅,49,3%
279位,越中島駅,49,2.90%
280位,長原駅,49,2.90%
281位,沼袋駅,48.9,2.50%
282位,桜台駅,48.6,4.30%
283位,大鳥居駅,48.4,2.60%
284位,沼部駅,48.3,2.80%
285位,西巣鴨駅,48.2,3.80%
286位,木場駅,47.8,2.80%
287位,三河島駅,47.3,4.20%
288位,下井草駅,47.3,2.90%
289位,東陽町駅,47,3.40%
290位,荏原町駅,47,2.60%
291位,芦花公園駅,47,3.10%
292位,新三河島駅,46.9,4.20%
293位,西馬込駅,46.9,2.60%
294位,大森町駅,46.7,2.90%
295位,とうきょうスカイツリー駅,46.7,2.90%
296位,祖師ヶ谷大蔵駅,46.5,2.20%
297位,板橋本町駅,46.3,3.60%
298位,武蔵境駅,46.2,3%
299位,千川駅,46,3.30%
300位,西ヶ原四丁目駅,45.7,3.90%
301位,森下駅,45.7,3.60%
302位,小竹向原駅,45.5,3.50%
303位,平和島駅,45.4,2.70%
304位,久我山駅,45.4,3.30%
305位,下赤塚駅,45.4,3.30%
306位,東池袋駅,45.4,3.90%
307位,馬込駅,45.1,2.70%
308位,成増駅,45.1,2.90%
309位,中村橋駅,44.9,2.70%
310位,下板橋駅,44.6,2.80%
311位,熊野前駅,44.5,2.80%
312位,井荻駅,44,1.70%
313位,国分寺駅,43.9,1.30%
314位,練馬高野台駅,43.8,2.30%
315位,池上駅,43.7,2.60%
316位,三鷹台駅,43.7,2.90%
317位,中板橋駅,43.6,3.20%
318位,地下鉄赤塚駅,43.5,2.90%
319位,西ケ原駅,43.1,4.40%
320位,新江古田駅,42.9,2.50%
321位,蓮沼駅,42.7,2.40%
322位,綾瀬駅,42.6,3.90%
323位,鷺ノ宮駅,42.5,1.80%
324位,平井駅,42.4,2.30%
325位,氷川台駅,42.3,2.90%
326位,調布駅,42.1,1.70%
327位,本所吾妻橋駅,42,2.40%
328位,豊島園駅,41.9,2.50%
329位,志村坂上駅,41.8,3%
330位,西大島駅,41.6,3.50%
331位,鵜の木駅,41.3,2.50%
332位,平和台駅,41,2.20%
333位,本蓮沼駅,40.9,4.10%
334位,梶原駅,40.8,2.70%
335位,荒川車庫前駅,40.8,4.10%
336位,町田駅,40.7,0.60%
337位,上中里駅,40.7,3.90%
338位,仙川駅,40.4,1.80%
339位,志茂駅,40.3,3.40%
340位,石神井公園駅,40.1,2%
341位,武蔵新田駅,40.1,2.90%
342位,都立家政駅,40,1.80%
343位,辰巳駅,39.9,4.20%
344位,武蔵関駅,39.8,1.90%
345位,小台駅,39.8,3.40%
346位,東雲駅,39.6,2.90%
347位,下丸子駅,39.5,2.60%
348位,新桜台駅,39.3,2.60%
349位,都営豊島園駅,39.2,2.30%
350位,蓮根駅,39.1,2.70%
351位,新小岩駅,39.1,2.10%
352位,富士見台駅,39,2.20%
353位,上石神井駅,38.7,1.60%
354位,小岩駅,38.6,1.60%
355位,大島駅,38.5,2.10%
356位,上井草駅,38.3,1.80%
357位,葛西駅,38,4.20%
358位,武蔵小金井駅,37.6,1.20%
359位,東大島駅,37.6,2.60%
360位,南砂町駅,37.6,2.50%
361位,大泉学園駅,37.4,1.30%
362位,上板橋駅,37.2,2.60%
363位,雑色駅,36.8,2.40%
364位,国立駅,36.6,0.90%
365位,練馬春日町駅,36.6,1.90%
366位,赤羽岩淵駅,36.5,3.30%
367位,京成立石駅,35.6,1.60%
368位,高島平駅,35.5,2.90%
369位,西台駅,35.4,2.70%
370位,東小金井駅,35.3,1.70%
371位,荒川遊園地前駅,35.3,3.80%
372位,高幡不動駅,35.1,2%
373位,狛江駅,35,0.70%
374位,東武練馬駅,34.9,2.60%
375位,穴守稲荷駅,34.9,4.10%
376位,王子神谷駅,34.8,2.40%
377位,布田駅,34.7,1.30%
378位,国領駅,34.6,1.10%
379位,大井競馬場前駅,34.5,5.20%
380位,喜多見駅,34.5,1.10%
381位,京成江戸川駅,34.2,2.70%
382位,光が丘駅,34.2,1.60%
383位,北赤羽駅,33.9,2.10%
384位,南千住駅,33.6,3.90%
385位,京成曳舟駅,33.4,2%
386位,新柴又駅,33.3,2.10%
387位,東府中駅,33.3,1%
388位,京成高砂駅,33.1,1.70%
389位,亀有駅,33.1,2.50%
390位,京王多摩川駅,33,1%
391位,船堀駅,32.8,2.30%
392位,堀切菖蒲園駅,32.6,1.60%
393位,梅屋敷駅,32.6,2.60%
394位,志村三丁目駅,32.3,2.60%
395位,つつじヶ丘駅,32.3,1%
396位,五反野駅,32.3,2.30%
397位,浮間舟渡駅,32.2,2.40%
398位,府中競馬正門前駅,32.1,1.60%
399位,青砥駅,32,1.70%
400位,鐘ケ淵駅,31.9,1.80%
401位,多磨霊園駅,31.9,1%
402位,堀切駅,31.7,2.30%
403位,柴崎駅,31.7,0.90%
404位,田無駅,31.5,1.80%
405位,葛西臨海公園駅,31.2,3.10%
406位,千住大橋駅,31.1,2.30%
407位,地下鉄成増駅,31,1.20%
408位,西国分寺駅,30.9,0.60%
409位,大師前駅,30.9,2.20%
410位,瑞江駅,30.8,2.20%
411位,新小金井駅,30.7,1.30%
412位,新高島平駅,30.5,2.40%
413位,西高島平駅,30.4,2%
414位,小村井駅,30.4,1.30%
415位,分倍河原駅,30.3,0.80%
416位,お花茶屋駅,30.2,1.60%
417位,東伏見駅,30.1,1.40%
418位,竹ノ塚駅,30.1,2%
419位,飛田給駅,30,2.60%
420位,一之江駅,29.5,1.70%
421位,白糸台駅,29.2,2.10%
422位,西武柳沢駅,29.2,1.20%
423位,西調布駅,29.1,1%
424位,八広駅,28.9,1.80%
425位,京成小岩駅,28.9,1.30%
426位,篠崎駅,28.9,1.70%
427位,青井駅,28.7,2.90%
428位,西国立駅,28.6,0.90%
429位,柴又駅,28.5,1.40%
430位,北府中駅,28,1.10%
431位,谷保駅,27.9,0.90%
432位,武蔵野台駅,27.9,1.20%
433位,金町駅,27.7,1.30%
434位,一橋学園駅,27.7,1.30%
435位,保谷駅,27.6,1.30%
436位,六町駅,27.5,2.30%
437位,ひばりヶ丘駅,27.1,1.30%
438位,北綾瀬駅,26.7,1.70%
439位,梅島駅,26.5,2%
440位,扇大橋駅,26.1,2.30%
441位,是政駅,26,1.60%
442位,多磨駅,25.9,1.10%
443位,西新井大師西駅,25.6,1.90%
444位,中河原駅,25.5,0.70%
445位,四ツ木駅,25.4,1.20%
446位,福生駅,25.3,1%
447位,和泉多摩川駅,24.9,0.80%
448位,八坂駅,24.8,1.30%
449位,国際展示場正門駅,24.5,4.30%
450位,矢川駅,24.4,0.60%
451位,西府駅,24.4,1.30%
452位,久米川駅,24.3,1.10%
453位,東久留米駅,24.3,1.10%
